SEGID,AADT2019,ATYPE,FTGROUP,FACGEO,STATIONGROUP
0015_301.7,243490.0,4,Freeway,I15,CO6
0015_302.5,243490.0,4,Freeway,I15,CO6
0015_303.4,224050.0,4,Freeway,I15,CO6
0015_304.7,314330.0,4,Freeway,I15,CO6
0015_305.2,287320.0,4,Freeway,I15,CO6
0015_305.9,255101.0,4,Freeway,I15,CO6
0015_306.3,255101.0,4,Freeway,I15,CO6
0015_307.2,255101.0,4,Freeway,I15,CO6
0015_307.5,202214.0,4,Freeway,I15,CO6
0015_307.6,164751.0,4,Freeway,I15,CO6
0015_307.8,161607.0,4,Freeway,I15,CO6
0015_308.4,161607.0,4,Freeway,I15,CO6
0015_309.3,136857.0,3,Freeway,I15,CO6
0015_310.2,136120.0,3,Freeway,I15,CO6
0015_311.4,136120.0,3,Freeway,I15,CO6
0015_311.8,168352.0,3,Freeway,I15,CO6
0015_313.7,175520.0,4,Freeway,I15,CO6
0015_315.3,167543.0,4,Freeway,I15,CO6
0015_316.9,168598.0,4,Freeway,I15,CO6
0015_317.6,141893.0,4,Freeway,I15,CO6
0015_318.3,158162.0,4,Freeway,I15,CO6
0015_319.5,166664.0,3,Freeway,I15,CO6
0015_321.0,166664.0,3,Freeway,I15,CO6
0015_322.0,149689.0,3,Freeway,I15,CO6
0015_323.8,124472.0,3,Freeway,I15,CO6
0015_324.4,128474.0,3,Freeway,I15,CO6
0015_325.6,128474.0,3,Freeway,I15,CO6
0015_328.7,152566.0,3,Freeway,I15,CO6
0015_330.1,131973.0,4,Freeway,I15,CO6
0015_331.6,132528.0,4,Freeway,I15,CO6
0015_332.9,126621.0,4,Freeway,I15,CO6
0015_334.1,132824.0,4,Freeway,I15,CO6
0015_335.8,127740.0,4,Freeway,I15,CO6
0015_337.0,127740.0,4,Freeway,I15,CO6
0015_338.5,114614.0,3,Freeway,I15,CO6
0015_339.1,104700.0,3,Freeway,I15,CO6
0015_340.3,118007.0,3,Freeway,I15,CO6
0015_342.0,116047.0,3,Freeway,I15,CO6
0015_343.1,95153.0,3,Freeway,I15,CO6
0015_343.9,90476.0,2,Freeway,I15,CO5
0015_345.0,75530.0,3,Freeway,I15,CO6
0015_346.7,66531.0,2,Freeway,I15,CO5
0015_349.4,54688.0,2,Freeway,I15,CO5
0015_351.9,58375.0,1,Freeway,I15,CO4
0015_357.6,54223.0,1,Freeway,I15,CO4
0015_362.0,31666.0,2,Freeway,I15,CO5
0015_363.7,30766.0,2,Freeway,I15,CO5
0015_365.5,28215.0,1,Freeway,I15,CO4
0026_000.0,23352.0,3,Arterial,Statewide,COT
0026_000.2,23352.0,3,Arterial,Statewide,COT
0026_000.4,49403.0,3,Arterial,Statewide,COT
0026_000.7,49403.0,3,Arterial,Statewide,COT
0026_001.0,50385.0,3,Arterial,Statewide,COT
0026_001.3,54673.0,3,Arterial,Statewide,COT
0026_001.8,54673.0,4,Arterial,Statewide,COU
0026_002.7,54673.0,4,Arterial,Statewide,COU
0026_003.0,12832.0,4,Arterial,Statewide,COU
0026_003.2,12832.0,4,Arterial,Statewide,COU
0026_003.3,12832.0,4,Arterial,Statewide,COU
0026_003.5,10476.0,4,Arterial,Statewide,COU
0037_000.0,16189.0,4,Arterial,Statewide,COU
0037_001.0,18173.0,3,Arterial,Statewide,COT
0037_001.5,18173.0,3,Arterial,Statewide,COT
0037_002.0,16848.0,3,Arterial,Statewide,COT
0037_003.0,3457.0,3,Arterial,Statewide,COT
0037_003.5,3457.0,2,Arterial,Statewide,COS
0037_004.1,3457.0,1,Arterial,Statewide,COQ
0037_004.5,2735.0,1,Arterial,Statewide,COQ
0037_005.7,2735.0,1,Arterial,Statewide,COQ
0037_006.2,2326.0,2,Arterial,Statewide,COS
0037_006.7,3280.0,2,Arterial,Statewide,COS
0037_007.2,3280.0,2,Arterial,Statewide,COS
0037_009.0,3280.0,2,Arterial,Statewide,COS
0037_009.6,3280.0,2,Arterial,Statewide,COS
0037_010.0,10381.0,2,Arterial,Statewide,COS
0037_010.5,10381.0,2,Arterial,Statewide,COS
0037_011.5,10858.0,3,Arterial,Statewide,COT
0038_000.0,3160.0,3,Arterial,Statewide,COT
0038_000.5,3793.0,2,Arterial,Statewide,COS
0038_003.2,3793.0,1,Arterial,Statewide,COQ
0039_000.0,6150.0,1,Arterial,Statewide,COQ
0039_000.5,6150.0,1,Arterial,Statewide,COQ
0039_001.5,7892.0,1,Arterial,Statewide,COQ
0039_002.4,8542.0,2,Arterial,Statewide,COS
0039_003.5,18887.0,2,Arterial,Statewide,COS
0039_004.0,32335.0,3,Arterial,Statewide,COT
0039_004.3,37103.0,3,Arterial,Statewide,COT
0039_005.1,37103.0,4,Arterial,Statewide,COU
0039_006.0,25699.0,4,Arterial,Statewide,COU
0039_006.1,25699.0,4,Arterial,Statewide,COU
0039_006.2,25699.0,4,Arterial,Statewide,COU
0039_006.4,24174.0,3,Arterial,Statewide,COT
0039_007.3,20093.0,3,Arterial,Statewide,COT
0039_007.7,10966.0,3,Arterial,Statewide,COT
0039_007.9,7276.0,3,Arterial,Statewide,COT
0039_008.7,9056.0,3,Arterial,Statewide,COT
0048_000.0,39634.0,4,Arterial,Statewide,COU
0048_000.5,33580.0,3,Arterial,Statewide,COT
0048_001.0,38621.0,3,Arterial,Statewide,COT
0048_001.5,38621.0,3,Arterial,Statewide,COT
0048_002.0,27405.0,4,Arterial,Statewide,COU
0048_002.5,26455.0,4,Arterial,Statewide,COU
0048_003.3,26455.0,4,Arterial,Statewide,COU
0048_003.5,49282.0,4,Arterial,Statewide,COU
0048_003.9,37697.0,4,Arterial,Statewide,COU
0048_004.1,37697.0,4,Arterial,Statewide,COU
0051_000.0,7230.0,3,Arterial,Statewide,COT
0051_000.6,8361.0,3,Arterial,Statewide,COT
0051_001.0,8361.0,2,Arterial,Statewide,COS
0051_002.4,11329.0,3,Arterial,Statewide,COT
0052_000.0,7282.0,4,Freeway,Statewide,XX3
0052_000.5,37913.0,4,Arterial,Statewide,COU
0052_000.6,37913.0,4,Arterial,Statewide,COU
0052_001.0,37913.0,4,Arterial,Statewide,COU
0052_001.5,33857.0,4,Arterial,Statewide,COU
0052_001.8,41770.0,4,Arterial,Statewide,COU
0052_002.1,41770.0,4,Arterial,Statewide,COU
0052_002.6,30259.0,3,Arterial,Statewide,COT
0052_003.1,36980.0,4,Arterial,Statewide,COU
0052_003.7,36980.0,4,Arterial,Statewide,COU
0053_000.1,14708.0,3,Arterial,Statewide,COT
0053_000.9,20064.0,3,Arterial,Statewide,COT
0053_001.5,20064.0,4,Arterial,Statewide,COU
0053_001.7,17307.0,5,Arterial,Statewide,COU
0053_001.8,17307.0,5,Arterial,Statewide,COU
0060_000.0,15713.0,3,Arterial,Statewide,COT
0060_000.8,2890.0,2,Arterial,Statewide,COS
0060_003.7,3786.0,2,Arterial,Statewide,COS
0060_004.4,3786.0,2,Arterial,Statewide,COS
0060_007.4,3786.0,2,Arterial,Statewide,COS
0065_000.1,1506.0,1,Arterial,Statewide,COP
0065_002.4,629.0,1,Arterial,RuralRecLowVolWinterClosed,COM
0067_000.0,23570.0,3,Freeway,Legacy,COF
0067_001.0,23570.0,3,Freeway,Legacy,COF
0067_004.0,0.0,2,Freeway,Legacy,COF
0067_004.1,24624.0,2,Freeway,Legacy,COF
0067_007.3,27210.0,3,Freeway,Legacy,COF
0067_010.1,27210.0,3,Freeway,Legacy,COF
0068_000.0,1400.0,1,Arterial,Statewide,COP
0068_009.1,1400.0,1,Arterial,Statewide,COP
0068_012.8,1400.0,1,Arterial,Statewide,COP
0068_017.2,1400.0,1,Freeway,Statewide,XX3
0068_023.7,1400.0,1,Arterial,Statewide,COP
0068_024.7,1400.0,1,Arterial,Statewide,COP
0068_025.0,1400.0,2,Arterial,Statewide,COS
0068_025.4,11598.0,2,Arterial,Statewide,COS
0068_026.5,11598.0,2,Arterial,Statewide,COS
0068_026.9,11598.0,2,Arterial,Statewide,COS
0068_027.4,11598.0,2,Arterial,Statewide,COS
0068_028.3,11598.0,3,Arterial,Statewide,COT
0068_029.3,11598.0,3,Arterial,Statewide,COT
0068_029.7,11598.0,2,Arterial,Statewide,COS
0068_030.5,22365.0,2,Arterial,Statewide,COS
0068_031.0,23195.0,2,Arterial,Statewide,COS
0068_031.5,23195.0,2,Arterial,Statewide,COS
0068_031.7,23195.0,3,Arterial,Statewide,COT
0068_032.2,23195.0,3,Arterial,Statewide,COT
0068_032.4,23195.0,3,Arterial,Statewide,COT
0068_032.7,24050.0,3,Arterial,Statewide,COT
0068_033.3,24050.0,3,Arterial,Statewide,COT
0068_033.6,24050.0,3,Arterial,Statewide,COT
0068_034.0,24050.0,3,Arterial,Statewide,COT
0068_034.5,24050.0,2,Arterial,Statewide,COS
0068_034.6,24165.0,2,Arterial,Statewide,COS
0068_036.0,31298.0,2,Arterial,Statewide,COS
0068_038.1,23844.0,2,Arterial,Statewide,COS
0068_039.2,23844.0,2,Arterial,Statewide,COS
0068_039.8,23844.0,2,Arterial,Statewide,COS
0068_040.1,27948.0,2,Arterial,Statewide,COS
0068_040.8,14812.0,2,Arterial,Statewide,COS
0068_041.3,14812.0,3,Arterial,Statewide,COT
0068_042.3,19143.0,3,Arterial,Statewide,COT
0068_043.3,19143.0,3,Arterial,Statewide,COT
0068_043.8,27829.0,3,Arterial,Statewide,COT
0068_045.1,29461.0,3,Arterial,Statewide,COT
0068_045.8,30876.0,4,Arterial,Statewide,COU
0068_046.8,41631.0,4,Arterial,Statewide,COU
0068_047.2,41631.0,3,Arterial,Statewide,COT
0068_047.8,41631.0,3,Arterial,Statewide,COT
0068_048.3,42973.0,4,Arterial,Statewide,COU
0068_049.3,45178.0,3,Arterial,Statewide,COT
0068_050.3,76928.0,4,Arterial,Statewide,COU
0068_050.7,69793.0,4,Arterial,Statewide,COU
0068_051.3,39751.0,4,Arterial,Statewide,COU
0068_052.1,39751.0,4,Arterial,Statewide,COU
0068_052.3,40072.0,4,Arterial,Statewide,COU
0068_053.1,52053.0,4,Arterial,Statewide,COU
0068_053.3,35476.0,4,Arterial,Statewide,COU
0068_054.3,26152.0,4,Arterial,Statewide,COU
0068_054.8,26152.0,4,Arterial,Statewide,COU
0068_055.7,26152.0,4,Arterial,Statewide,COU
0068_056.2,30740.0,4,Arterial,Statewide,COU
0068_056.3,34798.0,4,Arterial,Statewide,COU
0068_056.8,34798.0,4,Arterial,Statewide,COU
0068_057.3,23604.0,4,Arterial,Statewide,COU
0068_058.1,23604.0,3,Arterial,Statewide,COT
0068_058.7,23604.0,4,Arterial,Statewide,COU
0068_059.1,26107.0,4,Arterial,Statewide,COU
0068_059.5,22889.0,4,Arterial,Statewide,COU
0068_060.4,19515.0,4,Arterial,Statewide,COU
0068_060.8,12632.0,3,Arterial,Statewide,COT
0068_061.8,12632.0,2,Arterial,Statewide,COS
0068_062.6,13640.0,3,Arterial,Statewide,COT
0068_063.8,14565.0,3,Arterial,Statewide,COT
0068_064.4,10614.0,4,Arterial,Statewide,COU
0068_065.7,10614.0,3,Arterial,Statewide,COT
0068_066.6,10614.0,2,Arterial,Statewide,COS
0068_067.3,9680.0,2,Arterial,Statewide,COS
0068_068.2,10968.0,3,Arterial,Statewide,COT
0068_068.7,15944.0,4,Arterial,Statewide,COU
0068_068.9,15944.0,4,Arterial,Statewide,COU
0068_069.0,25785.0,4,Arterial,Statewide,COU
0068_069.2,25438.0,4,Arterial,Statewide,COU
0068_069.6,15373.0,4,Arterial,Statewide,COU
0068_070.0,15373.0,4,Arterial,Statewide,COU
0068_070.2,15373.0,4,Arterial,Statewide,COU
0068_070.5,0.0,4,Arterial,Statewide,COU
0071_000.0,26156.0,3,Arterial,Statewide,COT
0071_000.4,26156.0,3,Arterial,Statewide,COT
0071_001.4,34033.0,3,Arterial,Statewide,COT
0071_002.4,29372.0,3,Arterial,Statewide,COT
0071_002.9,28840.0,3,Arterial,Statewide,COT
0071_004.1,33456.0,4,Arterial,Statewide,COU
0071_004.7,34013.0,4,Arterial,Statewide,COU
0071_005.0,32864.0,4,Arterial,Statewide,COU
0071_005.1,32864.0,4,Arterial,Statewide,COU
0071_005.5,37070.0,4,Arterial,Statewide,COU
0071_006.0,14296.0,4,Arterial,Statewide,COU
0071_006.6,14296.0,4,Arterial,Statewide,COU
0071_007.2,15697.0,3,Arterial,Statewide,COT
0071_007.7,23454.0,3,Arterial,Statewide,COT
0071_008.2,27460.0,3,Arterial,Statewide,COT
0071_009.2,28560.0,4,Arterial,Statewide,COU
0071_009.7,29245.0,4,Arterial,Statewide,COU
0071_010.2,40253.0,4,Arterial,Statewide,COU
0071_010.7,29656.0,4,Arterial,Statewide,COU
0071_011.5,29656.0,4,Arterial,Statewide,COU
0071_011.7,28866.0,4,Arterial,Statewide,COU
0071_012.2,28866.0,4,Arterial,Statewide,COU
0071_012.6,28866.0,4,Arterial,Statewide,COU
0071_012.7,22611.0,4,Arterial,Statewide,COU
0071_013.3,28054.0,4,Arterial,Statewide,COU
0071_014.1,29160.0,4,Arterial,Statewide,COU
0071_014.6,27129.0,4,Arterial,Statewide,COU
0071_015.7,26803.0,4,Arterial,Statewide,COU
0071_016.5,37858.0,4,Arterial,Statewide,COU
0071_017.4,34487.0,4,Arterial,Statewide,COU
0071_018.3,39380.0,3,Arterial,Statewide,COT
0071_019.2,34530.0,3,Arterial,Statewide,COT
0071_019.6,49900.0,4,Arterial,Statewide,COU
0071_020.0,47312.0,4,Arterial,Statewide,COU
0071_020.6,47119.0,4,Arterial,Statewide,COU
0071_021.2,44196.0,4,Arterial,Statewide,COU
0071_021.7,44196.0,4,Arterial,Statewide,COU
0071_021.9,44243.0,4,Arterial,Statewide,COU
0071_022.2,44243.0,4,Arterial,Statewide,COU
0071_022.3,44243.0,4,Arterial,Statewide,COU
0073_015.5,1898.0,1,Arterial,Statewide,COP
0073_018.5,1898.0,1,Arterial,Statewide,COP
0073_020.7,3103.0,1,Arterial,Statewide,COQ
0073_022.2,3103.0,1,Arterial,Statewide,COQ
0073_023.2,3103.0,1,Arterial,Statewide,COQ
0073_023.8,3103.0,1,Arterial,Statewide,COQ
0073_024.3,3103.0,1,Arterial,Statewide,COQ
0073_024.6,3123.0,1,Arterial,Statewide,COQ
0073_025.7,4177.0,1,Arterial,Statewide,COQ
0073_026.5,4177.0,1,Arterial,Statewide,COQ
0073_026.7,4177.0,1,Arterial,Statewide,COQ
0073_027.7,4177.0,1,Arterial,Statewide,COQ
0073_027.8,4177.0,1,Arterial,Statewide,COQ
0073_028.5,4177.0,1,Arterial,Statewide,COQ
0073_029.2,4177.0,1,Arterial,Statewide,COQ
0073_029.7,4177.0,1,Arterial,Statewide,COQ
0073_030.2,4177.0,1,Arterial,Statewide,COQ
0073_030.7,4177.0,2,Freeway,Statewide,XX3
0073_031.3,4177.0,2,Freeway,Statewide,XX3
0073_031.8,4177.0,2,Freeway,Statewide,XX3
0073_032.3,4177.0,2,Freeway,Statewide,XX3
0073_033.3,33642.0,2,Freeway,Statewide,XX3
0073_033.9,33642.0,2,Freeway,Statewide,XX3
0073_034.6,33642.0,2,Freeway,Statewide,XX3
0073_035.4,23014.0,2,Freeway,Statewide,XX3
0073_035.7,25346.0,4,Arterial,Statewide,COU
0073_035.8,25346.0,4,Arterial,Statewide,COU
0074_000.0,20270.0,4,Arterial,Statewide,COU
0074_000.1,20270.0,3,Arterial,Statewide,COT
0074_000.4,21635.0,3,Arterial,Statewide,COT
0074_001.0,16867.0,3,Arterial,Statewide,COT
0074_001.6,14250.0,3,Arterial,Statewide,COT
0074_002.1,14250.0,3,Arterial,Statewide,COT
0074_002.3,14250.0,3,Arterial,Statewide,COT
0074_003.1,15801.0,3,Arterial,Statewide,COT
0074_003.9,13886.0,3,Arterial,Statewide,COT
0074_004.6,16449.0,2,Arterial,Statewide,COS
0075_000.0,12096.0,2,Arterial,Statewide,COS
0075_000.1,12096.0,3,Arterial,Statewide,COT
0075_000.6,12096.0,3,Arterial,Statewide,COT
0075_000.9,12096.0,3,Arterial,Statewide,COT
0077_000.0,1485.0,1,Arterial,Statewide,COP
0077_000.5,1485.0,1,Arterial,Statewide,COP
0077_001.0,1485.0,1,Arterial,Statewide,COP
0077_002.0,1485.0,1,Arterial,Statewide,COP
0077_002.4,2958.0,1,Arterial,Statewide,COQ
0077_002.9,2958.0,1,Arterial,Statewide,COQ
0077_003.9,2958.0,1,Arterial,Statewide,COQ
0077_004.2,2958.0,1,Arterial,Statewide,COQ
0077_004.4,2958.0,1,Arterial,Statewide,COQ
0077_004.9,2958.0,1,Arterial,Statewide,COQ
0077_005.2,2958.0,1,Arterial,Statewide,COQ
0077_005.4,2958.0,1,Arterial,Statewide,COQ
0077_005.8,2958.0,1,Arterial,Statewide,COQ
0077_006.6,9660.0,3,Arterial,Statewide,COT
0077_007.1,34775.0,3,Arterial,Statewide,COT
0077_007.4,34775.0,3,Arterial,Statewide,COT
0077_007.9,34775.0,3,Arterial,Statewide,COT
0077_008.5,20552.0,3,Arterial,Statewide,COT
0079_000.0,10263.0,3,Arterial,Statewide,COT
0079_000.7,17021.0,3,Arterial,Statewide,COT
0079_001.9,21122.0,3,Arterial,Statewide,COT
0079_002.5,26975.0,3,Arterial,Statewide,COT
0079_002.9,11338.0,4,Arterial,Statewide,COU
0079_003.0,9217.0,4,Arterial,Statewide,COU
0079_003.3,10098.0,4,Arterial,Statewide,COU
0079_003.4,10098.0,4,Arterial,Statewide,COU
0079_003.6,10098.0,4,Arterial,Statewide,COU
0079_003.8,11849.0,4,Arterial,Statewide,COU
0079_003.9,11849.0,4,Arterial,Statewide,COU
0079_004.3,8694.0,3,Arterial,Statewide,COT
0079_004.9,9570.0,4,Arterial,Statewide,COU
0079_005.0,9570.0,4,Arterial,Statewide,COU
0079_005.1,9570.0,4,Arterial,Statewide,COU
0080_101.5,28378.0,1,Freeway,I80SR36SR154,COB
0080_104.3,29473.0,2,Freeway,I80SR36SR154,COB
0080_111.3,27418.0,2,Freeway,I80SR36SR154,COB
0080_112.5,27418.0,3,Freeway,I80SR36SR154,COB
0080_113.3,44362.0,3,Freeway,I80SR36SR154,COB
0080_114.3,64984.0,3,Freeway,I80SR36SR154,COB
0080_115.3,74319.0,3,Freeway,I80SR154SR186,COC
0080_117.7,74425.0,4,Freeway,I80SR154SR186,COC
0080_122.4,150998.0,4,Freeway,I80SR154SR186,COC
0080_123.2,137011.0,4,Freeway,I80SR154SR186,COC
0080_124.1,128183.0,4,Freeway,I80SR154SR186,COC
0080_125.1,105552.0,3,Freeway,I80SR154SR186,COC
0080_126.8,84071.0,3,Freeway,I80SR154SR186,COC
0080_127.0,43434.0,3,Freeway,I80SR154SR186,COC
0080_127.8,40871.0,3,Freeway,I80SR186US40,COD
0080_128.7,58852.0,1,Freeway,I80SR186US40,COD
0080_130.4,58978.0,1,Freeway,I80SR186US40,COD
0080_131.9,57805.0,1,Freeway,I80SR186US40,COD
0080_133.7,57491.0,1,Freeway,I80SR186US40,COD
0080_136.1,57377.0,1,Freeway,I80SR186US40,COD
0084_081.0,21526.0,3,Freeway,I84East,COZ
0084_081.7,23604.0,3,Freeway,I84East,COZ
0084_084.6,22567.0,2,Freeway,I84East,COZ
0084_087.8,23268.0,2,Freeway,I84East,COZ
0085_003.0,12994.0,2,Arterial,Statewide,COS
0085_003.5,13757.0,2,Freeway,Statewide,XX3
0085_004.5,13757.0,2,Freeway,Statewide,XX3
0085_005.8,13757.0,3,Freeway,Statewide,XX3
0085_006.0,16774.0,3,Freeway,Statewide,XX3
0085_006.6,16774.0,3,Freeway,Statewide,XX3
0085_007.0,16774.0,3,Freeway,Statewide,XX3
0085_007.9,15001.0,3,Freeway,Statewide,XX3
0085_008.1,15001.0,3,Freeway,Statewide,XX3
0085_008.9,28952.0,3,Freeway,Statewide,XX3
0085_010.0,28952.0,4,Freeway,Statewide,XX3
0085_010.3,33148.0,4,Freeway,Statewide,XX3
0085_010.8,33148.0,3,Freeway,Statewide,XX3
0085_011.3,33148.0,2,Freeway,Statewide,XX3
0085_011.9,33148.0,2,Freeway,Statewide,XX3
0085_012.5,12771.0,3,Freeway,Statewide,XX3
0085_013.9,14532.0,3,Freeway,Statewide,XX3
0085_015.5,23249.0,3,Freeway,Statewide,XX3
0085_017.7,13712.0,3,Freeway,Statewide,XX3
0085_018.7,10100.0,3,Freeway,Statewide,XX3
0089_297.1,3000.0,1,Expressway,Statewide,COQ
0089_322.3,6595.0,2,Arterial,Statewide,COS
0089_324.2,3990.0,2,Arterial,Statewide,COS
0089_324.7,8056.0,2,Arterial,Statewide,COS
0089_325.7,13767.0,3,Arterial,Statewide,COT
0089_326.1,13767.0,3,Arterial,Statewide,COT
0089_326.8,14764.0,3,Arterial,Statewide,COT
0089_327.0,14764.0,3,Arterial,Statewide,COT
0089_327.7,14764.0,4,Arterial,Statewide,COU
0089_327.9,27386.0,3,Arterial,Statewide,COT
0089_328.1,22929.0,4,Arterial,Statewide,COU
0089_328.5,30517.0,4,Arterial,Statewide,COU
0089_328.8,29341.0,3,Arterial,Statewide,COT
0089_329.8,23721.0,3,Arterial,Statewide,COT
0089_331.1,23721.0,3,Arterial,Statewide,COT
0089_331.6,23721.0,3,Arterial,Statewide,COT
0089_331.7,26992.0,3,Arterial,Statewide,COT
0089_333.1,14045.0,4,Arterial,Statewide,COU
0089_333.2,14045.0,4,Arterial,Statewide,COU
0089_333.5,16784.0,4,Arterial,Statewide,COU
0089_334.1,31939.0,4,Arterial,Statewide,COU
0089_334.3,31939.0,4,Arterial,Statewide,COU
0089_334.6,20084.0,4,Arterial,Statewide,COU
0089_334.9,36697.0,4,Arterial,Statewide,COU
0089_335.0,36697.0,4,Arterial,Statewide,COU
0089_335.3,36697.0,4,Arterial,Statewide,COU
0089_335.6,38216.0,4,Arterial,Statewide,COU
0089_336.0,49038.0,4,Arterial,Statewide,COU
0089_336.5,49038.0,4,Arterial,Statewide,COU
0089_336.7,49038.0,4,Arterial,Statewide,COU
0089_337.2,49038.0,4,Arterial,Statewide,COU
0089_337.5,49038.0,4,Arterial,Statewide,COU
0089_337.9,47369.0,4,Arterial,Statewide,COU
0089_338.0,47369.0,4,Arterial,Statewide,COU
0089_338.5,57475.0,4,Arterial,Statewide,COU
0089_339.1,57475.0,4,Arterial,Statewide,COU
0089_339.6,53634.0,4,Arterial,Statewide,COU
0089_340.2,53634.0,4,Arterial,Statewide,COU
0089_340.7,47791.0,4,Arterial,Statewide,COU
0089_341.3,47791.0,4,Arterial,Statewide,COU
0089_341.8,46567.0,3,Arterial,Statewide,COT
0089_342.4,42203.0,3,Arterial,Statewide,COT
0089_343.3,34560.0,3,Arterial,Statewide,COT
0089_344.0,34560.0,4,Arterial,Statewide,COU
